iter	RMSE
434	0.09615897004
435	0.09583910333
436	0.09552662611
437	0.09456783248
438	0.09384891506
439	0.09353677886
440	0.09323186171
441	0.09253184307
442	0.09223017622
443	0.09193548632
444	0.09125389393
445	0.09096233644
446	0.09067752543
447	0.08978339079
448	0.08929618652
449	0.08874735664
450	0.08780428604
451	0.08727675537
452	0.0863744334
453	0.08574430769
454	0.08547323568
455	0.08462029984
456	0.08435348918
457	0.0837504526
458	0.08348657304
459	0.08322879918
460	0.08255861745
461	0.08206766472
462	0.08127726861
463	0.08052279035
464	0.08004961623
465	0.07949194348
466	0.0792423696
467	0.07899854278
468	0.0784556942
469	0.07821461535
470	0.07750626905
471	0.07726911766
472	0.07683416559
473	0.076607319
474	0.07602642004
475	0.07559914123
476	0.075069816
477	0.07441858187
478	0.07387842176
479	0.07365722083
480	0.07316470302
481	0.07266509809
482	0.07244700023
483	0.07194286966
484	0.07172826719
485	0.07151857277
486	0.07093839307
487	0.07073309122
488	0.07021634184
489	0.07001387358
490	0.06981603185
491	0.06962271105
492	0.06912208307
493	0.0689314413
494	0.06844846784
495	0.06826063321
496	0.06807708464
497	0.06753893027
498	0.06735766615
499	0.06718054469
500	0.06700747303
501	0.06648632993
502	0.06631542346
503	0.06614843195
504	0.06542927278
505	0.06526747027
506	0.06457813424
507	0.06442138428
508	0.06397263525
509	0.06381812362
510	0.06366715047
511	0.06351963789
512	0.06292990733
513	0.06278731977
514	0.06222195211
515	0.0616784692
516	0.06154213527
517	0.06104858406
518	0.06091445681
519	0.06078341012
520	0.06065537677
521	0.06018007813
522	0.06005413604
523	0.05993109733
524	0.05981089832
525	0.05935325392
526	0.05923503592
527	0.05911955323
528	0.05873892791
529	0.05862475883
530	0.05851323652
531	0.05840430237
532	0.05803613653
533	0.05792844418
534	0.05782325601
535	0.05772051637
536	0.05719541307
537	0.05709336334
538	0.05672546425
539	0.05637542081
540	0.05627430578
541	0.05577823295
542	0.05567782522
543	0.05557977573
544	0.05510044417
545	0.05500308968
546	0.05490802779
547	0.0544448987
548	0.05435051995
549	0.05400071596
550	0.05356292724
551	0.05314281539
552	0.05282457829
553	0.05261463072
554	0.05221555648
555	0.05200926503
556	0.05180826286
557	0.05142200892
558	0.05122447452
559	0.05092959534
560	0.05083960705
561	0.05047124916
562	0.05027890308
563	0.05009144797
564	0.04973497327
565	0.04955071353
566	0.04927666401
567	0.04919179336
568	0.04885176077
569	0.04867225644
570	0.04849729059
571	0.0481682851
572	0.04799628218
573	0.04766783173
574	0.04750032834
575	0.04732654476
576	0.04701152804
577	0.04684294087
578	0.0465405829
579	0.04637696178
580	0.04605592095
581	0.04589809131
582	0.04553862827
583	0.04525455104
584	0.04510093367
585	0.04471473069
586	0.04456712954
587	0.04421448848
588	0.04406994338
589	0.04370184432
590	0.0433981578
591	0.043258561
592	0.04298980486
593	0.04269134484
594	0.04261946118
595	0.04227065962
596	0.04220387741
597	0.04188300038
598	0.04181454269
599	0.04145309478
600	0.04138677224
601	0.04132217624
602	0.04106606315
603	0.04078470043
604	0.04071985643
605	0.04040135492
606	0.04033890145
607	0.04027806812
608	0.03990048713
609	0.03959218768
610	0.03934606273
611	0.03909054212
612	0.03902854464
613	0.0387036384
614	0.03864357924
615	0.03834829528
616	0.03828910352
617	0.038003192
618	0.03794485415
619	0.03788802489
620	0.03754445754
621	0.03726872083
622	0.03700742071
623	0.03695048483
624	0.03689502624
625	0.03660866426
626	0.03655524212
627	0.03629015679
628	0.036237514
629	0.03598071968
630	0.03592884424
631	0.03561148956
632	0.03536414352
633	0.03531293443
634	0.03507329229
635	0.03502285279
636	0.03480082228
637	0.03475113914
638	0.03470273998
639	0.03440252315
640	0.03417184698
641	0.03412599733
642	0.03391411304
643	0.03386895263
644	0.03382492752
645	0.03364084768
646	0.03335184213
647	0.033310196
648	0.03308515754
649	0.03304386662
650	0.03277018158
651	0.03255402109
652	0.03251095825
653	0.03224955332
654	0.03201459003
655	0.03178958176
656	0.03155645081
657	0.03134857971
658	0.03113328352
659	0.03094107867
660	0.03075686683
661	0.0305566409
662	0.03052112381
663	0.03033083794
664	0.03029655934
665	0.03026312891
666	0.03008127089
667	0.02992165489
668	0.02988970407
669	0.02972056852
670	0.02949570248
671	0.02946433147
672	0.02943373486
673	0.02940389243
674	0.02937478463
675	0.02921542796
676	0.0290602709
677	0.02903240797
678	0.02900523172
679	0.02885703138
680	0.02865021626
681	0.02862340676
682	0.02842459934
683	0.02839794679
684	0.02837195408
685	0.02818035918
686	0.02815451977
687	0.02792703229
688	0.02790153087
689	0.02787666021
690	0.02769242444
691	0.02766770388
692	0.0274715153
693	0.02744707448
694	0.02722340561
695	0.02705132593
696	0.02702674501
697	0.02700277705
698	0.0268206759
699	0.0267969914
