iter	RMSE
0	9.62690046
1	9.430619268
2	9.211827362
3	8.98103248
4	8.727353859
5	8.506452886
6	8.296582304
7	8.084711753
8	7.893717345
9	7.712902237
10	7.503764371
11	7.340543914
12	7.162741581
13	7.001430684
14	6.853950329
15	6.699389618
16	6.56168236
17	6.416625971
18	6.262717064
19	6.12635513
20	5.990354166
21	5.843797177
22	5.705970924
23	5.573006458
24	5.443982782
25	5.315315973
26	5.200999554
27	5.094431747
28	4.977333195
29	4.887487875
30	4.782822513
31	4.672575611
32	4.576915857
33	4.480649896
34	4.393221176
35	4.309540136
36	4.223066624
37	4.135962486
38	4.051241464
39	3.988549582
40	3.900772262
41	3.813326653
42	3.73360964
43	3.664652191
44	3.639975458
45	3.564497247
46	3.486633986
47	3.413036312
48	3.355518838
49	3.292975721
50	3.226388209
51	3.166860072
52	3.112776655
53	3.054774185
54	3.000393623
55	2.944761956
56	2.888753665
57	2.828517294
58	2.768476995
59	2.72381454
60	2.670256623
61	2.618513701
62	2.563983957
63	2.519064744
64	2.470382464
65	2.440658578
66	2.401234909
67	2.364936315
68	2.325595951
69	2.288040708
70	2.249923415
71	2.2127971
72	2.187180469
73	2.149562502
74	2.112504878
75	2.084680496
76	2.041930955
77	2.015344999
78	1.977788943
79	1.946168741
80	1.918720494
81	1.892590899
82	1.85975462
83	1.828313883
84	1.798123823
85	1.768271506
86	1.739384093
87	1.711575649
88	1.685909791
89	1.666391398
90	1.641502532
91	1.617187541
92	1.585185481
93	1.560563776
94	1.537653269
95	1.514018994
96	1.492802988
97	1.474214203
98	1.464035002
99	1.443210661
100	1.431940064
101	1.41273096
102	1.387340339
103	1.363430137
104	1.351977212
105	1.333492081
106	1.310999122
107	1.301762862
108	1.277348674
109	1.260499064
110	1.240099442
111	1.228570656
112	1.210523624
113	1.189918605
114	1.182193256
115	1.174396459
116	1.158551456
117	1.137411413
118	1.130218156
119	1.115696633
120	1.106460137
121	1.099452936
122	1.089779126
123	1.081577508
124	1.072625259
125	1.054205652
126	1.042140488
127	1.035160421
128	1.029365208
129	1.023245616
130	1.017243613
131	1.011357339
132	1.004953446
133	0.9866326631
134	0.9696263125
135	0.9640684235
136	0.9562690062
137	0.9510363748
138	0.9451428045
139	0.9295326757
140	0.9218174282
141	0.9169073
142	0.9113590476
143	0.8955598544
144	0.8901553528
145	0.883533739
146	0.8768778723
147	0.8626089339
148	0.8575018858
149	0.8428608186
150	0.8378860848
151	0.8318697664
152	0.824726423
153	0.8199835818
154	0.815332512
155	0.8107717629
156	0.7978952396
157	0.7934564355
158	0.7869823991
159	0.7789863865
160	0.7737834573
161	0.7618164054
162	0.7558651452
163	0.7442268097
164	0.7385624204
165	0.7330522171
166	0.7276902638
167	0.7237867157
168	0.7186213787
169	0.707424364
170	0.7024940649
171	0.6987971497
172	0.6940455228
173	0.6894163166
174	0.6849053106
175	0.6814301115
176	0.6710782587
177	0.6668116098
178	0.6626514567
179	0.6585943896
180	0.6488847214
181	0.64499986
182	0.6399565796
183	0.6362470543
184	0.6259793935
185	0.6224250288
186	0.6189543641
187	0.6102173543
188	0.6006412309
189	0.5973678911
190	0.5941695168
191	0.5910442184
192	0.5824946062
193	0.5794773669
194	0.5706651194
195	0.5677622975
196	0.5597712393
197	0.5569645992
198	0.554220072
199	0.5460509463
200	0.543406185
201	0.5362563417
202	0.5337104657
203	0.5312204727
204	0.5236039313
205	0.5212017441
206	0.5142898662
207	0.5119611233
208	0.5096835617
209	0.5025889816
210	0.5003891183
211	0.4946283542
212	0.4925194226
213	0.4904568842
214	0.4849784669
215	0.4829954751
216	0.4810560835
217	0.4745788484
218	0.4727030507
219	0.466685073
220	0.4648632064
221	0.4630820651
222	0.4570362435
223	0.454878697
224	0.450182324
225	0.4480784932
226	0.4464387082
227	0.4424586749
228	0.4408746054
229	0.4352695626
230	0.4309671584
231	0.4289860029
232	0.4270453352
233	0.4218745408
234	0.417839931
235	0.416141163
236	0.4142885214
237	0.4128985263
238	0.4081772524
239	0.4033886202
240	0.4017861596
241	0.3980876001
242	0.3963404615
243	0.3946295932
244	0.3911308515
245	0.3894631628
246	0.3849496879
247	0.3833193522
248	0.3817231338
249	0.3774881167
250	0.3759255269
251	0.3718355897
252	0.3703058542
253	0.3671436383
254	0.3658155052
255	0.3617273707
256	0.3604268631
257	0.3574625846
258	0.3560351881
259	0.3547982902
260	0.3510334916
261	0.3472368637
262	0.3460259227
263	0.3432944629
264	0.3419558446
265	0.3388477073
266	0.3375386332
267	0.3341018329
268	0.3306713055
269	0.32706398
270	0.3236016353
271	0.3208734766
272	0.3195959925
273	0.3169870324
274	0.3145871874
275	0.3119637628
276	0.3088326844
277	0.3077716559
278	0.3054914421
279	0.3029481245
280	0.2997746728
281	0.2972764366
282	0.2950897649
283	0.292020532
284	0.2897146916
285	0.2876068256
286	0.2852785264
287	0.2832273253
288	0.2809469843
289	0.278293428
290	0.2772479755
291	0.2739696763
292	0.2718585083
293	0.2696718736
294	0.2677623741
295	0.2656064323
296	0.2637652987
297	0.2619731378
298	0.2600799836
299	0.258068798
300	0.2563546336
301	0.2524874726
302	0.2515567423
303	0.2496785611
304	0.248052338
305	0.2454338586
306	0.2438501303
307	0.2429800229
308	0.2393457721
309	0.236538499
310	0.2356777445
311	0.2332190885
312	0.2323719273
313	0.2315433332
314	0.2291747448
315	0.2277082759
316	0.2269086781
317	0.2246305445
318	0.2232180617
319	0.220381786
320	0.2178750827
321	0.215890981
322	0.2151114696
323	0.2143491144
324	0.2126180901
325	0.2112913528
326	0.2099563711
327	0.2077277012
328	0.2052603146
329	0.2034416456
330	0.2013855233
331	0.1987216558
332	0.1979729893
333	0.1972408065
334	0.1957385729
335	0.1950207997
336	0.1943188077
337	0.1925893123
338	0.1919006528
339	0.1904201192
340	0.1897436607
341	0.1890820571
342	0.1865599626
343	0.1859064031
344	0.1842410007
345	0.1828563449
346	0.1822298188
347	0.1808751915
348	0.1802605876
349	0.1796595203
350	0.1776831853
351	0.1764064797
352	0.1758268389
353	0.1740769979
354	0.1728676824
355	0.1723081561
356	0.1711499919
357	0.1693830721
358	0.1688437269
359	0.1671228565
360	0.1655511536
361	0.1638638441
362	0.1619681908
363	0.1603824928
364	0.1591143944
365	0.1571438433
366	0.1558423734
367	0.1546865383
368	0.1536972754
369	0.1519688761
370	0.1508712544
371	0.1499117937
372	0.1489790627
373	0.1479307308
374	0.147425373
375	0.1469311656
376	0.145801356
377	0.1441633854
378	0.1430772279
379	0.1417756077
380	0.1400966764
381	0.1385030368
382	0.1370036362
383	0.1358367246
384	0.1349815536
385	0.1341498099
386	0.1326468935
387	0.1318388862
388	0.1307002943
389	0.12991496
390	0.1285075479
391	0.1277433298
392	0.12699923
393	0.1256422149
394	0.1249165716
395	0.1239199646
396	0.1234720205
397	0.122695031
398	0.1214120672
399	0.1207257034
400	0.120057186
401	0.1191017147
402	0.1186793283
403	0.1179537891
404	0.1167352756
405	0.1161004463
406	0.115406997
407	0.1144493109
408	0.1138374552
409	0.1132414848
410	0.1120851173
411	0.1115028595
412	0.1105874266
413	0.1100147822
414	0.1091284883
415	0.1085652848
416	0.1080165565
417	0.1071531717
418	0.1066133988
419	0.1058404374
420	0.1053246639
421	0.104822161
422	0.1037383352
423	0.1029081708
424	0.1024098415
425	0.1016058566
426	0.1011155809
427	0.1006378562
428	0.09962194544
429	0.09885529312
430	0.09838145432
431	0.0979197069
432	0.09717260083
433	0.09683756844
